Sample,Category,Length,Count
Cells-G2,NZ_CP007446.1,34,17998
Cells-G2,NZ_CP007446.1,35,13964
Cells-G2,NZ_CP007446.1,36,7624
Cells-G2,NZ_CP007446.1,37,6991
Cells-G2,NZ_CP007446.1,38,2751
Cells-G2,NZ_CP007446.1,39,2146
Cells-G2,NZ_CP007446.1,40,2435
Cells-G2,NZ_CP007446.1,41,2410
Cells-G2,NZ_CP007446.1,42,601
Cells-G2,NZ_CP007446.1,43,381
Cells-G2,NZ_CP007446.1,44,207
Cells-G2,NZ_CP007446.1,45,134
Cells-G2,NZ_CP007446.1,46,65
Cells-G2,NZ_CP007446.1,47,36
Cells-G2,NZ_CP007446.1,48,17
Cells-G2,NZ_CP007446.1,49,18
Cells-G2,NZ_CP007446.1,50,13
Cells-G2,NZ_CP007446.1,51,11
Cells-G2,NZ_CP007446.1,52,10
Cells-G2,NZ_CP007446.1,53,3
Cells-G2,NZ_CP007446.1,54,1
Cells-G2,NZ_CP007446.1,55,3
Cells-G2,NZ_CP007446.1,57,2
Cells-G2,NZ_CP007446.1,59,1
Cells-G2,GFP_wPT,15,17031
Cells-G2,GFP_wPT,16,2846
Cells-G2,GFP_wPT,17,3448
Cells-G2,GFP_wPT,18,7305
Cells-G2,GFP_wPT,19,7710
Cells-G2,GFP_wPT,20,7869
Cells-G2,GFP_wPT,21,13630
Cells-G2,GFP_wPT,22,11256
Cells-G2,GFP_wPT,23,19478
Cells-G2,GFP_wPT,24,5998
Cells-G2,GFP_wPT,25,8183
Cells-G2,GFP_wPT,26,4064
Cells-G2,GFP_wPT,27,4295
Cells-G2,GFP_wPT,28,6048
Cells-G2,GFP_wPT,29,2642
Cells-G2,GFP_wPT,30,2520
Cells-G2,GFP_wPT,31,1405
Cells-G2,GFP_wPT,32,1584
Cells-G2,GFP_wPT,33,759
Cells-G2,GFP_wPT,34,449
Cells-G2,GFP_wPT,35,379
Cells-G2,GFP_wPT,36,159
Cells-G2,GFP_wPT,37,80
Cells-G2,GFP_wPT,38,38
Cells-G2,GFP_wPT,39,28
Cells-G2,GFP_wPT,40,18
